Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gene Balfour,Alison Davidson,Judi Forbes,Angel Godsoe,Zac Miller,Jamie Schmale,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 188","Kawartha Lakes",1,8,35,7,20,102,1,174,332
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 189","Manilla",2,13,25,6,15,95,0,156,327
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 190","Cavan-Millbrook-North Monaghan",0,8,28,6,31,88,2,163,358
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 191","Cavan Monaghan",0,15,50,3,25,114,0,207,395
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 192","Cavan",1,20,33,8,26,87,0,175,408
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 193","Brock",1,11,35,5,18,115,0,185,382
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 194","Brock",1,9,22,12,15,78,0,137,351
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 195","Kawartha Lakes",0,16,42,6,34,156,0,254,526
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 196","Kawartha Lakes",1,20,33,6,41,160,0,261,507
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 197","Kawartha Lakes",1,11,43,10,36,97,3,201,509
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 198","Kawartha Lakes",2,18,60,3,27,122,0,232,602
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 199","Kawartha Lakes",0,4,42,3,19,103,0,171,427
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 200","Cavan Monaghan",0,15,33,2,18,102,3,173,397
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 201","Cavan Monaghan",0,16,17,6,20,77,1,137,309
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 202","Cavan Monaghan",3,15,42,9,28,91,2,190,449
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 203","Cavan Monaghan",0,16,27,8,30,89,1,171,435
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 204","Kawartha Lakes",0,12,37,7,27,111,0,194,381
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 205","Kawartha Lakes",1,17,29,3,30,134,1,215,453
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 206","Kawartha Lakes",1,21,47,4,28,143,3,247,448
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock"," 207","Kawartha Lakes",0,18,49,6,20,68,0,161,320
