Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jenni Michelle Le Forestier,Stephen McKendrick,Lisa Post,Samantha Sanchez,Kyle Seeback,Anthony Zambito,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35022,"Dufferin--Caledon/Dufferin--Caledon"," 118","Orangeville",12,0,53,42,80,17,0,204,552
35022,"Dufferin--Caledon/Dufferin--Caledon"," 119","Orangeville",11,1,48,35,126,16,0,237,570
35022,"Dufferin--Caledon/Dufferin--Caledon"," 120","Orangeville",6,3,57,35,88,21,1,211,624
35022,"Dufferin--Caledon/Dufferin--Caledon"," 121","Orangeville",10,0,25,36,85,17,2,175,448
35022,"Dufferin--Caledon/Dufferin--Caledon"," 122","Orangeville",10,1,56,18,98,8,0,191,466
35022,"Dufferin--Caledon/Dufferin--Caledon"," 123","Orangeville",13,2,79,27,85,16,1,223,504
35022,"Dufferin--Caledon/Dufferin--Caledon"," 124","Orangeville",7,0,52,32,101,13,0,205,523
35022,"Dufferin--Caledon/Dufferin--Caledon"," 125","Caledon",8,1,70,29,68,8,0,184,609
35022,"Dufferin--Caledon/Dufferin--Caledon"," 126","Caledon",21,0,64,20,120,12,1,238,534
35022,"Dufferin--Caledon/Dufferin--Caledon"," 127","Caledon",7,1,57,20,103,10,0,198,436
35022,"Dufferin--Caledon/Dufferin--Caledon"," 128","Caledon",12,0,72,29,131,10,0,254,457
35022,"Dufferin--Caledon/Dufferin--Caledon"," 129","Caledon",12,3,77,31,88,2,0,213,396
35022,"Dufferin--Caledon/Dufferin--Caledon"," 130","Orangeville",10,1,68,36,136,17,0,268,594
