Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anne Marie Anonsen,Linda Hogan,Churence Rogers,Sharon Vokey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 186","Marystown",5,4,34,41,1,85,211
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 187","Marystown",14,5,46,44,0,109,322
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 188","Marystown",18,5,36,63,1,123,362
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 189","Marystown",14,6,39,59,2,120,285
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 190","Marystown",9,5,27,81,1,123,322
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 191","Marystown",16,5,39,81,4,145,450
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 192","Marystown",16,10,63,56,1,146,352
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 193","Marystown",23,4,62,112,0,201,544
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 194","Port au Bras",3,1,25,27,5,61,141
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 195","Fox Cove-Mortier",7,2,50,54,5,118,236
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 196","Burin",2,4,44,40,3,93,268
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 197","Burin",6,1,30,48,4,89,270
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 198","Burin",5,3,36,33,4,81,273
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 199","Burin",11,5,80,57,0,153,372
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 200","Salt Pond--Burin",14,1,45,51,0,111,394
10002,"Bonavista--Burin--Trinity/Bonavista--Burin--Trinity"," 201","Lewin's Cove",8,5,36,41,3,93,290
