Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Olivia Dorey,Bernadette Jordan,Rick Perkins,Thomas Trappenberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 200","Shelburne",24,30,59,5,2,120,367
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 201","East Green Harbour",12,12,69,3,2,98,304
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 202","Lockeport",15,25,45,5,1,91,255
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 203","Lockeport",10,24,59,1,0,94,261
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 204","Sandy Point",32,35,94,6,0,167,406
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 205","Birchtown--Gunning Cove",20,51,116,5,1,193,447
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 206","Thomasville",15,28,68,1,1,113,305
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 207","Clyde River--Port Saxon",18,36,81,4,2,141,257
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 208","North West Harbour--Ingomar",12,34,111,6,2,165,292
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 209","Barrington",11,14,99,1,1,126,423
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 210","Barrington",15,14,84,4,1,118,379
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 211","Crowell",11,17,93,5,0,126,333
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 212","Port La Tour--Baccaro",12,32,118,8,2,172,464
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 213","Barrington Passage",12,31,107,6,0,156,417
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 214","Barrington",5,18,112,0,2,137,339
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 215","North East Point",14,15,131,3,1,164,349
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 216","Newellton",12,20,130,6,1,169,345
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 217","Stoney Island",6,14,197,4,0,221,411
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 218","Clark's Harbour",11,18,127,0,0,156,354
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 219","Clark's Harbour",9,8,103,0,0,120,295
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 220","Barrington",8,19,116,2,0,145,409
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 221","Upper Woods Harbour--Central Woods Harbour",9,14,135,2,2,162,308
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 222","Lower Shag Harbour",6,9,57,2,0,74,271
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 223","Lower Wood Harbour",3,6,85,0,1,95,253
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 224","Shag Harbour",10,15,88,1,4,118,301
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 225","Charlesville--Lower Woods Harbour",10,9,116,3,0,138,250
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 500","Mobile poll/Bureau itinérant",6,22,11,1,3,43,85
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 501","Mobile poll/Bureau itinérant",3,23,12,2,0,40,58
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 502","Mobile poll/Bureau itinérant",5,13,8,0,2,28,130
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 503","Mobile poll/Bureau itinérant",0,0,2,1,0,3,7
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 504","Mobile poll/Bureau itinérant",4,10,7,3,2,26,60
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 505","Mobile poll/Bureau itinérant",1,13,7,0,2,23,54
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 506","Mobile poll/Bureau itinérant",0,12,12,1,0,25,56
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°135,,,,,,24
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 508","Mobile poll/Bureau itinérant",4,5,4,2,1,16,45
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 509","Mobile poll/Bureau itinérant",2,5,11,0,0,18,24
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 510","Mobile poll/Bureau itinérant",2,10,5,1,4,22,43
12009,"South Shore--St. Margarets/South Shore--St. Margarets"," 511","Mobile poll/Bureau itinérant",3,10,6,0,0,19,22
