Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Michael DeVita,Mario Greco,Muhammad Hassan Khan,Luca Mele,Angela Panacci,Francesco Sorbara,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 168","Vaughan",12,3,0,0,49,57,0,121,311
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 169","Vaughan",14,20,2,1,35,87,7,166,441
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 170","Vaughan",10,4,1,0,45,54,1,115,378
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 171","Vaughan",9,13,1,1,54,48,4,130,454
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 172","Vaughan",20,13,2,0,52,79,6,172,530
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 173","Vaughan",17,11,0,0,53,73,5,159,398
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 174","Vaughan",33,19,0,1,64,84,0,201,574
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 175","Vaughan",14,12,0,0,61,58,0,145,401
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 176","Vaughan",21,8,1,0,90,107,1,228,615
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 177","Vaughan",25,15,2,1,70,71,2,186,492
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 178","Vaughan",12,9,0,0,49,56,1,127,426
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 179","Vaughan",12,10,1,1,73,74,6,177,478
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 180","Vaughan",22,12,2,1,86,79,0,202,567
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 500","Mobile poll/Bureau itinérant",0,1,0,1,2,11,0,15,22
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 501","Mobile poll/Bureau itinérant",0,0,3,1,18,19,1,42,84
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 502","Mobile poll/Bureau itinérant",2,4,0,1,3,19,1,30,56
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 503","Mobile poll/Bureau itinérant",3,0,0,0,4,11,1,19,32
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 504","Mobile poll/Bureau itinérant",0,2,0,1,1,20,2,26,41
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 505","Mobile poll/Bureau itinérant",4,0,0,1,15,45,0,65,141
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 506","Mobile poll/Bureau itinérant",4,0,0,0,9,64,2,79,120
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 600","Vaughan",80,68,7,2,552,514,7,1230,
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 601","Vaughan",75,95,8,5,650,650,13,1496,
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 602","Vaughan",86,108,14,3,641,676,13,1541,
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 603","Vaughan",107,97,6,4,474,679,1,1368,
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 604","Vaughan",49,87,8,5,598,602,6,1355,
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 605","Vaughan",50,43,7,3,412,537,14,1066,
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 606","Vaughan",74,76,17,2,833,728,20,1750,
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 607","Vaughan",79,96,18,5,515,914,31,1658,
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 608","Vaughan",101,138,15,11,572,821,12,1670,
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 609","Vaughan",83,100,20,6,652,949,23,1833,
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 610","Vaughan",78,91,17,7,520,648,14,1375,
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge",,Group 1/Groupe 1, 28,9,2,0,47,102,8,196,77
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge",,Group 2/Groupe 2, 158,92,14,2,736,896,60,1958,
