Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guled Arale,Mohsin Bhuiyan,Bill Blair,Amanda Cain,Ramona Pache,David Edward-Ooi Poon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 38","Toronto",20,32,108,3,4,1,0,168,483
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 39","Toronto",24,26,146,7,4,0,3,210,529
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 40","Toronto",52,48,125,7,10,0,3,245,434
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 41","Toronto",Merged with No./Fusionné avec le n°40,,,,,,,,468
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 42","Toronto",50,63,201,7,6,0,1,328,339
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 43","Toronto",Merged with No./Fusionné avec le n°25,,,,,,,,577
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 44","Toronto",Merged with No./Fusionné avec le n°42,,,,,,,,381
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 45","Toronto",45,42,173,4,3,2,0,269,411
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 46","Toronto",Merged with No./Fusionné avec le n°45,,,,,,,,407
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 47","Toronto",26,65,174,7,3,1,1,277,557
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 48","Toronto",Merged with No./Fusionné avec le n°47,,,,,,,,351
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 49","Toronto",51,60,134,1,7,0,2,255,382
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 50","Toronto",26,32,130,6,8,0,3,205,461
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 51","Toronto",71,86,214,9,17,0,0,397,520
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 52","Toronto",Merged with No./Fusionné avec le n°51,,,,,,,,505
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 53","Toronto",56,72,192,6,10,1,1,338,527
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 54","Toronto",Merged with No./Fusionné avec le n°53,,,,,,,,546
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 55","Toronto",46,48,154,5,2,1,1,257,401
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 56","Toronto",50,63,206,6,11,1,2,339,654
