Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kerry-Lynne Findlay,Gordie Hogg,Gary Jensen,June Liu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 100","Surrey",70,44,10,25,2,151,425
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 101","Surrey",97,105,2,30,1,235,544
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 102","Surrey",63,60,7,19,0,149,446
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 103","Surrey",74,39,7,22,0,142,470
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 104","White Rock",80,73,4,38,0,195,496
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 105","Surrey",71,55,8,20,1,155,428
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 106","White Rock",91,51,4,20,1,167,471
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 107","Surrey",61,79,4,38,1,183,425
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 108","Surrey",87,90,10,53,0,240,581
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 109","Surrey",62,55,9,52,0,178,406
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 110","Surrey",42,46,10,63,0,161,557
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 111","Surrey",66,64,4,25,1,160,473
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 112","Surrey",43,37,9,21,1,111,382
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 113","Surrey",76,49,8,34,0,167,364
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 114","Surrey",65,67,7,45,1,185,424
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 115","White Rock",61,51,10,17,0,139,433
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 116","Surrey",29,34,4,12,2,81,362
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 117","White Rock",53,78,5,30,2,168,639
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 118","White Rock",28,54,13,37,3,135,538
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 119","Surrey",24,33,6,21,0,84,415
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 120","White Rock",38,40,4,15,0,97,588
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 121","White Rock",56,53,3,27,1,140,646
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 122","White Rock",39,56,8,24,0,127,400
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 123","White Rock",43,41,7,44,1,136,480
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 124","White Rock",44,33,5,20,0,102,424
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 125","Surrey",48,51,4,31,2,136,563
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 126","White Rock",29,38,11,25,0,103,402
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 127","White Rock",39,49,7,27,1,123,461
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 128","White Rock",17,41,5,27,0,90,361
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 129","White Rock",50,60,2,32,2,146,472
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 130","Surrey",56,75,10,44,4,189,533
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 131","Surrey",61,71,3,53,0,188,507
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 132","White Rock",61,61,6,45,0,173,441
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 133","White Rock",38,62,5,20,0,125,445
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 134","Surrey",87,92,3,53,1,236,638
59030,"South Surrey--White Rock/Surrey-Sud--White Rock"," 135","White Rock",42,55,10,47,0,154,427
