Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Erika Alexander,Georgia Beauchemin,John-Paul Danko,Jim Enos,Roberto Henriquez,Ava Sharavi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 46","Hamilton",69,4,102,0,8,0,1,184,422
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 47","Hamilton",53,2,75,2,12,1,1,146,357
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 48","Hamilton",51,2,92,0,13,0,0,158,417
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 49","Hamilton",70,4,101,0,9,0,0,184,427
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 50","Hamilton",67,3,96,0,4,0,0,170,432
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 51","Hamilton",83,2,117,0,6,2,0,210,453
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 52","Hamilton",71,3,113,0,5,1,0,193,499
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 53","Hamilton",55,5,92,1,17,2,1,173,459
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 54","Hamilton",78,1,84,0,8,3,0,174,481
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 55","Hamilton",77,6,81,0,5,0,0,169,479
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 56","Hamilton",67,4,96,0,3,1,0,171,502
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 57","Hamilton",43,3,76,0,8,1,0,131,433
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 58","Hamilton",77,8,164,0,32,3,3,287,479
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 59","Hamilton",35,1,64,0,16,2,0,118,314
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 60","Hamilton",47,7,99,0,14,0,1,168,435
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 61","Hamilton",60,0,84,2,12,2,0,160,377
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 62","Hamilton",39,2,56,1,15,1,1,115,372
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 63","Hamilton",49,2,92,2,12,0,0,157,663
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 64","Hamilton",75,1,103,1,9,0,1,190,513
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 65","Hamilton",51,1,77,0,3,0,0,132,355
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 66","Hamilton",89,2,75,1,13,0,0,180,375
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 67","Hamilton",55,8,80,0,7,0,0,150,361
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 68","Hamilton",83,1,116,1,5,0,1,207,432
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 69","Hamilton",111,4,88,0,23,0,1,227,386
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 70","Hamilton",86,1,63,0,12,1,0,163,430
35039,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 71","Hamilton",79,1,100,1,10,0,0,191,470
