Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Ehsan Arjmand,Tammy Bentz,Stephen Curran,Oliver King,Andrew Robinson,Jonathan Wilkinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 141","North Vancouver",0,16,44,1,3,102,0,166,452
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 142","North Vancouver",0,9,47,0,9,87,0,152,590
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 143","North Vancouver",2,8,72,0,2,98,1,183,556
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 144","North Vancouver",0,4,45,0,2,75,0,126,412
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 145","North Vancouver",1,13,36,0,3,56,2,111,372
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 146","North Vancouver",1,11,30,0,3,39,0,84,361
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 147","North Vancouver",Combined with No./Résultats combinés à ceux du n°163,,,,,,,,334
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 148","North Vancouver",2,6,36,0,2,60,1,107,328
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 149","North Vancouver",0,10,53,0,2,30,1,96,353
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 150","North Vancouver",0,5,59,0,4,67,1,136,477
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 151","North Vancouver",1,12,58,0,6,82,0,159,535
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 152","North Vancouver",2,16,66,1,7,113,0,205,560
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 153","North Vancouver",1,8,74,1,3,115,0,202,505
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 154","North Vancouver",2,8,42,0,0,66,0,118,431
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 155","North Vancouver",1,6,48,0,3,67,0,125,493
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 156","North Vancouver",2,5,50,0,2,84,0,143,590
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 157","North Vancouver",2,14,54,0,2,103,1,176,472
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 158","North Vancouver",1,9,42,1,5,58,0,116,492
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 159","North Vancouver",1,10,39,0,4,56,0,110,495
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 160","North Vancouver",1,10,30,1,3,61,1,107,379
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 161","North Vancouver",2,16,56,0,5,78,1,158,464
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 162","North Vancouver",1,13,55,0,2,66,0,137,460
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 163","North Vancouver",0,9,61,0,5,83,1,159,380
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 164","Mission 1",0,51,28,0,8,76,1,164,372
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 164-1","Mission 1",Combined with No./Résultats combinés à ceux du n°164,,,,,,,,188
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 165","North Vancouver",2,11,47,1,1,75,1,138,460
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 166","North Vancouver",0,10,59,1,3,89,1,163,538
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 167","North Vancouver",0,6,60,0,2,87,0,155,435
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 168","North Vancouver",1,8,73,0,4,110,2,198,502
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 169","North Vancouver",0,11,23,0,0,42,1,77,297
59022,"North Vancouver--Capilano/North Vancouver--Capilano"," 170","North Vancouver",1,8,48,2,3,76,0,138,362
