Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Chris d'Entremont,Ingrid Deon,Ronnie LeBlanc,Matthew Piggott,James Strange,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12001,"Acadie--Annapolis/Acadie--Annapolis"," 610","Digby",397,40,540,6,9,0,992,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 611","Bear River (Part 6)",Combined with No./Résultats combinés à ceux du n°609,,,,,,,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 612","Digby",332,33,351,7,5,0,728,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 613","Little River",176,11,114,1,3,0,305,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 614","Weymouth",392,23,387,4,11,15,832,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 615","Church Point",276,15,485,4,3,4,787,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 616","Meteghan",210,15,326,2,1,6,560,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 617","Yarmouth",296,6,212,5,2,4,525,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 618","Yarmouth",502,26,456,6,4,6,1000,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 619","Arcadia",261,10,429,9,3,4,716,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 620","Yarmouth",334,46,674,7,2,10,1073,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 621","Yarmouth 33",Combined with No./Résultats combinés à ceux du n°619,,,,,,,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 622","Arcadia",346,26,351,5,6,2,736,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 623","Amiraults Hill",245,10,210,4,4,9,482,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 624","Middle West Pubnico",840,30,352,2,5,6,1235,
12001,"Acadie--Annapolis/Acadie--Annapolis"," 625","Amiraults Hill",352,14,327,4,3,3,703,
12001,"Acadie--Annapolis/Acadie--Annapolis",,Group 1/Groupe 1, 457,27,394,9,9,25,921,165
12001,"Acadie--Annapolis/Acadie--Annapolis",,Group 2/Groupe 2, 978,76,1828,24,17,38,2961,
