Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Kulbir Chawla,You-Ju Choi,Alan Clarke,Brian Deheer,Laila Goodridge,Kaitlyn Staines,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 165","Beaver Lake 131",0,2,0,1,11,10,0,24,182
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 166","Hylo",1,3,6,3,186,28,0,227,394
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 167","Beaver Lake 131",0,6,8,0,142,8,0,164,378
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 168","Rich Lake",0,8,11,0,117,9,0,145,263
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 169","Rich Lake",Combined with No./Résultats combinés à ceux du n°168,,,,,,,,5
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 170","Truman",0,6,18,0,378,22,2,426,444
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 171","Happy Hollow",Combined with No./Résultats combinés à ceux du n°170,,,,,,,,397
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 172","La Corey",Combined with No./Résultats combinés à ceux du n°173,,,,,,,,349
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 173","Happy Hollow",1,17,26,1,417,27,0,489,598
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 174","Goodridge",0,0,3,2,226,5,1,237,334
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 175","Cold Lake",1,3,6,1,184,31,0,226,612
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 176","Cold Lake",0,4,7,2,109,26,1,149,395
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 177","Cold Lake",Combined with No./Résultats combinés à ceux du n°178,,,,,,,,501
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 178","Cold Lake",1,8,18,0,283,67,2,379,514
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 179A","Cold Lake",1,2,2,1,92,20,1,119,316
48025,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 179B","Cold Lake",0,2,3,1,100,16,0,122,326
