Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Juanita Nathan,Jamie Nye,Zainab Rana,Lisa Robinson,Alicia Vianga,Andrea Wood,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35087,"Pickering--Brooklin/Pickering--Brooklin"," 194","Pickering",106,16,0,3,79,2,0,206,454
35087,"Pickering--Brooklin/Pickering--Brooklin"," 195","Pickering",105,6,0,5,90,0,0,206,558
35087,"Pickering--Brooklin/Pickering--Brooklin"," 196","Pickering",93,10,0,4,79,3,0,189,428
35087,"Pickering--Brooklin/Pickering--Brooklin"," 197","Pickering",71,6,0,1,58,0,0,136,330
35087,"Pickering--Brooklin/Pickering--Brooklin"," 198","Pickering",145,2,0,3,69,1,1,221,363
35087,"Pickering--Brooklin/Pickering--Brooklin"," 199","Pickering",126,5,1,4,107,1,0,244,494
35087,"Pickering--Brooklin/Pickering--Brooklin"," 200","Pickering",139,2,0,6,110,2,0,259,512
35087,"Pickering--Brooklin/Pickering--Brooklin"," 201","Pickering",85,1,1,0,73,1,1,162,402
35087,"Pickering--Brooklin/Pickering--Brooklin"," 202A","Pickering",129,4,0,7,109,2,0,251,480
35087,"Pickering--Brooklin/Pickering--Brooklin"," 202B","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,,,63
35087,"Pickering--Brooklin/Pickering--Brooklin"," 400","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,2
35087,"Pickering--Brooklin/Pickering--Brooklin"," 401","Pickering",55,10,0,1,39,0,1,106,167
35087,"Pickering--Brooklin/Pickering--Brooklin"," 402","Pickering",63,8,0,5,40,1,0,117,179
35087,"Pickering--Brooklin/Pickering--Brooklin"," 403","Pickering",26,2,0,0,32,1,0,61,190
35087,"Pickering--Brooklin/Pickering--Brooklin"," 404","Pickering",40,1,0,0,55,0,0,96,180
35087,"Pickering--Brooklin/Pickering--Brooklin"," 405","Pickering",181,4,0,2,71,1,1,260,349
35087,"Pickering--Brooklin/Pickering--Brooklin"," 406","Pickering",175,3,0,1,64,0,1,244,365
35087,"Pickering--Brooklin/Pickering--Brooklin"," 407","Pickering",56,4,0,0,22,1,0,83,101
35087,"Pickering--Brooklin/Pickering--Brooklin"," 408","Pickering",113,8,1,4,51,1,1,179,296
35087,"Pickering--Brooklin/Pickering--Brooklin"," 409","Pickering",114,7,1,2,81,1,4,210,320
35087,"Pickering--Brooklin/Pickering--Brooklin"," 410","Pickering",63,6,0,0,48,2,1,120,207
35087,"Pickering--Brooklin/Pickering--Brooklin"," 411","Pickering",80,5,0,2,80,0,0,167,298
