Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Liz Clayton,Terry Hayward,Andrew Douglas Maxwell,Dan Mazier,Jim Oliver,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46007,"Riding Mountain/Mont-Riding"," 36","Sifton",1,13,19,131,0,0,164,249
46007,"Riding Mountain/Mont-Riding"," 37","Zelena",2,8,7,95,6,1,119,247
46007,"Riding Mountain/Mont-Riding"," 38","Roblin",1,14,7,114,1,2,139,332
46007,"Riding Mountain/Mont-Riding"," 39","Roblin",0,26,6,113,7,1,153,431
46007,"Riding Mountain/Mont-Riding"," 40","Roblin",4,39,5,81,1,0,130,428
46007,"Riding Mountain/Mont-Riding"," 41","Roblin",2,24,7,102,1,0,136,286
46007,"Riding Mountain/Mont-Riding"," 42","Bield",1,7,6,80,1,0,95,259
46007,"Riding Mountain/Mont-Riding"," 43","Shell Valley",1,19,14,121,5,1,161,351
46007,"Riding Mountain/Mont-Riding"," 44","Crane River",Combined with No./Résultats combinés à ceux du n°44-1,,,,,,,71
46007,"Riding Mountain/Mont-Riding"," 44-1","Crane River 51",0,71,21,14,0,0,106,258
46007,"Riding Mountain/Mont-Riding"," 45","Valley River 63A",1,27,33,8,0,0,69,217
