Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Eric Duncan,Sarah Good,Gordon Kubanek,Mario Leclerc,Karl Ivan MacKinnon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 187","Annable Settlement--Winchester",87,39,1,2,0,0,129,404
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 188","North Dundas",122,62,1,9,0,1,195,725
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 189","Mulloys",93,34,2,2,1,3,135,413
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 190","Bunker Hill",82,13,0,3,0,2,100,238
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 191","South Stormont",71,43,2,6,1,0,123,343
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 192","Ingleside",112,58,5,3,0,0,178,462
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 193","Gallingertown",91,34,0,4,1,1,131,401
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 194","Ingleside",86,56,1,2,0,0,145,396
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 195","South Stormont",79,38,1,2,1,1,122,377
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 196","South Stormont",73,39,0,1,0,1,114,316
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 197","Gallingertown",109,36,2,0,2,1,150,454
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 198","North Dundas",79,36,1,3,0,0,119,355
35102,"Stormont--Dundas--Glengarry/Stormont--Dundas--Glengarry"," 199","Winchester Springs",98,29,1,5,1,0,134,409
