Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Dan Albas,Harpreet Badohal,Louise Lecouffe,Debbie Robinson,Juliette Sicotte,Gary Suddard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 143","Kelowna",Combined with No./Résultats combinés à ceux du n°142,,,,,,,,194
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 144","Kelowna",Combined with No./Résultats combinés à ceux du n°149,,,,,,,,210
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 145","Kelowna",108,4,2,0,86,0,0,200,386
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 146","Kelowna",88,3,0,0,95,0,1,187,401
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 147","Kelowna",Combined with No./Résultats combinés à ceux du n°151,,,,,,,,357
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 148","Kelowna",91,2,2,0,84,0,0,179,421
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 149","Kelowna",109,8,5,3,83,0,1,209,433
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 150","Kelowna",68,8,3,0,79,0,1,159,593
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 151","Kelowna",139,5,3,1,122,2,1,273,248
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 152","Kelowna",76,4,2,0,60,0,0,142,460
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 153","Kelowna",106,4,1,0,84,0,0,195,317
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 154","Kelowna",Combined with No./Résultats combinés à ceux du n°139,,,,,,,,368
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 155","Kelowna",111,2,1,1,70,0,0,185,488
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 156","Kelowna",70,3,0,0,44,1,0,118,374
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 157","Kelowna",59,1,1,0,56,0,0,117,382
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 158","Kelowna",77,1,1,2,62,0,0,143,425
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 159","Kelowna",60,7,0,1,73,0,1,142,433
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 160","Kelowna",58,5,2,2,43,0,0,110,353
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 161","Kelowna",88,3,2,0,87,0,0,180,496
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 162","Kelowna",86,2,1,0,97,0,0,186,473
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 163","Kelowna",Combined with No./Résultats combinés à ceux du n°153,,,,,,,,252
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 164","Kelowna",67,4,5,1,89,0,0,166,435
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 165","Kelowna",93,2,0,2,61,0,0,158,452
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 166","Kelowna",77,3,0,0,94,0,1,175,430
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 167","Kelowna",84,3,2,0,60,0,0,149,395
59023,"Okanagan Lake West--South Kelowna/Okanagan Lake-Ouest--Kelowna-Sud"," 168","Kelowna",95,1,1,0,50,0,0,147,462
