Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Waseem Botros,Bardish Chagger,Santa Claus Chatham,Héline Chow,Simon Guthrie,Jamie Hari,Val Neekman,Hans Roach,Douglas Ross,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35114,"Waterloo/Waterloo"," 62","Waterloo",81,110,0,10,10,0,2,0,2,0,215,430
35114,"Waterloo/Waterloo"," 63","Waterloo",67,96,1,14,13,0,0,4,3,1,199,461
35114,"Waterloo/Waterloo"," 64","Waterloo",63,72,1,12,3,0,0,1,1,0,153,429
35114,"Waterloo/Waterloo"," 65","Waterloo",63,69,0,4,3,0,0,2,5,0,146,391
35114,"Waterloo/Waterloo"," 66","Waterloo",38,59,0,16,8,0,0,0,0,1,122,380
35114,"Waterloo/Waterloo"," 67","Waterloo",36,71,1,11,6,0,0,0,0,1,126,371
35114,"Waterloo/Waterloo"," 68","Waterloo",88,73,0,7,4,0,2,0,1,1,176,470
35114,"Waterloo/Waterloo"," 69","Waterloo",59,80,0,10,5,1,0,0,0,0,155,386
35114,"Waterloo/Waterloo"," 70","Waterloo",85,116,1,7,3,1,2,1,3,0,219,569
35114,"Waterloo/Waterloo"," 71","Waterloo",62,70,0,8,4,0,0,0,3,0,147,386
35114,"Waterloo/Waterloo"," 72","Waterloo",56,97,0,7,6,0,1,2,1,1,171,407
35114,"Waterloo/Waterloo"," 73","Waterloo",61,78,2,20,7,1,0,1,1,3,174,606
35114,"Waterloo/Waterloo"," 74","Waterloo",57,69,1,5,9,0,1,0,1,1,144,392
35114,"Waterloo/Waterloo"," 75","Waterloo",68,70,0,6,4,1,1,1,0,2,153,524
35114,"Waterloo/Waterloo"," 76","Waterloo",50,100,0,14,9,1,0,0,1,1,176,526
35114,"Waterloo/Waterloo"," 77","Waterloo",39,60,1,10,2,0,0,0,0,0,112,318
35114,"Waterloo/Waterloo"," 78","Waterloo",23,58,0,5,2,0,0,0,1,0,89,339
35114,"Waterloo/Waterloo"," 79","Waterloo",47,74,0,12,4,0,0,0,0,1,138,467
35114,"Waterloo/Waterloo"," 80","Waterloo",57,70,0,14,6,0,0,0,0,0,147,365
35114,"Waterloo/Waterloo"," 81","Waterloo",58,90,1,4,3,1,1,0,2,2,162,459
35114,"Waterloo/Waterloo"," 82","Waterloo",58,91,0,1,3,1,0,0,0,0,154,385
35114,"Waterloo/Waterloo"," 83","Waterloo",35,99,0,5,6,0,0,0,0,1,146,420
35114,"Waterloo/Waterloo"," 84","Waterloo",43,81,0,15,2,0,0,0,0,0,141,139
35114,"Waterloo/Waterloo"," 85","Waterloo",69,85,0,21,11,0,0,0,0,0,186,463
35114,"Waterloo/Waterloo"," 86","Waterloo",48,60,0,6,3,0,1,0,1,0,119,404
35114,"Waterloo/Waterloo"," 87","Waterloo",59,95,1,4,16,0,1,0,0,1,177,476
35114,"Waterloo/Waterloo"," 88","Waterloo",41,80,0,6,9,1,0,0,1,1,139,371
