Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Louis Bellemare,Danick Bisson,Paul Cyr,Dominique Harrisson,Bladimir Laborit Infante,Pierre Paul-Hus,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 28","Québec",85,1,1,3,33,92,1,216,479
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 29","Québec",59,2,0,8,25,77,3,174,414
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 30","Québec",53,1,2,7,31,66,5,165,399
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 31","Québec",47,0,0,3,28,91,2,171,378
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 32","Québec",58,2,0,4,44,68,3,179,368
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 33","Québec",35,1,0,8,36,48,3,131,310
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 34","Québec",52,1,3,7,34,67,1,165,471
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 35","Québec",94,0,3,9,55,146,4,311,560
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 36","Québec",70,0,2,3,39,132,3,249,492
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 37","Québec",95,1,2,5,48,138,5,294,560
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 38","Québec",62,2,2,14,51,107,2,240,467
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 39","Québec",86,1,3,7,40,109,1,247,537
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 40","Québec",74,0,4,8,50,118,6,260,541
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 41","Québec",94,1,4,11,43,158,5,316,573
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 42","Québec",84,0,1,2,32,77,0,196,537
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 43","Québec",65,1,1,7,26,86,0,186,471
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 44","Québec",48,0,1,3,28,39,0,119,427
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 45","Québec",47,1,1,9,48,69,2,177,460
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 46","Québec",89,0,1,2,42,107,1,242,537
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 47","Québec",84,1,1,8,33,97,0,224,450
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 48","Québec",84,3,1,3,38,108,6,243,511
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 49","Québec",80,0,0,3,33,101,0,217,509
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 50","Québec",58,0,1,3,26,39,2,129,432
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 51","Québec",44,2,0,2,22,46,2,118,411
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 52","Québec",90,1,0,6,40,81,4,222,555
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 53","Québec",25,1,1,11,19,28,2,87,341
24016,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 54","Québec",63,1,1,5,27,44,0,141,454
