Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Amélie Charbonneau,Marie-Hélène Gaudreau,Michel Le Comte,Michel Noël De Tilly,Daniel Paquette,Emrick Vienneau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24036,"Laurentides--Labelle/Laurentides--Labelle"," 178","Arundel",0,31,1,4,26,24,0,86,292
24036,"Laurentides--Labelle/Laurentides--Labelle"," 179","Huberdeau",8,58,4,9,43,60,5,187,437
24036,"Laurentides--Labelle/Laurentides--Labelle"," 180","Gray Valley",1,74,3,10,33,54,5,180,434
24036,"Laurentides--Labelle/Laurentides--Labelle"," 181A","Weir",2,66,4,2,29,67,4,174,350
24036,"Laurentides--Labelle/Laurentides--Labelle"," 181B","Weir",Combined with No./Résultats combinés à ceux du n°182,,,,,,,,117
24036,"Laurentides--Labelle/Laurentides--Labelle"," 182","Arundel",2,21,1,7,30,46,0,107,245
24036,"Laurentides--Labelle/Laurentides--Labelle"," 183","Notre-Dame-du-Laus",1,47,1,4,15,22,4,94,321
24036,"Laurentides--Labelle/Laurentides--Labelle"," 184","Notre-Dame-du-Laus",2,60,1,1,31,55,4,154,463
24036,"Laurentides--Labelle/Laurentides--Labelle"," 185","Notre-Dame-du-Laus",2,43,4,2,30,48,2,131,451
24036,"Laurentides--Labelle/Laurentides--Labelle"," 186","Notre-Dame-du-Laus",1,43,5,1,14,51,1,116,345
24036,"Laurentides--Labelle/Laurentides--Labelle"," 500","Mobile poll/Bureau itinérant",0,11,0,1,3,21,1,37,45
24036,"Laurentides--Labelle/Laurentides--Labelle"," 501","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°500,,,,,,,,21
24036,"Laurentides--Labelle/Laurentides--Labelle"," 502","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
24036,"Laurentides--Labelle/Laurentides--Labelle"," 503","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°505,,,,,,,,62
