Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Karin Brothers,Chrystia Freeland,Drew Garvie,Tim Grant,Melissa Jean-Baptiste Vajda,Aran Lockwood,Steve Rutchinski,Helen-Claire Tingling,Liz White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35110,"University--Rosedale/University--Rosedale"," 44","Toronto",0,106,1,24,72,8,0,23,0,1,235,486
35110,"University--Rosedale/University--Rosedale"," 45","Toronto",0,111,0,16,15,4,0,61,1,0,208,442
35110,"University--Rosedale/University--Rosedale"," 46","Toronto",0,126,0,24,70,1,0,29,3,0,253,491
35110,"University--Rosedale/University--Rosedale"," 47","Toronto",0,128,0,7,23,1,1,98,0,1,259,543
35110,"University--Rosedale/University--Rosedale"," 48","Toronto",2,94,0,12,34,1,0,63,0,1,207,526
35110,"University--Rosedale/University--Rosedale"," 49","Toronto",0,142,1,8,16,7,0,71,0,1,246,558
35110,"University--Rosedale/University--Rosedale"," 50","Toronto",1,123,0,28,96,7,0,36,0,2,293,414
35110,"University--Rosedale/University--Rosedale"," 51","Toronto",0,100,0,26,76,6,0,25,1,1,235,597
35110,"University--Rosedale/University--Rosedale"," 52","Toronto",0,105,0,20,66,0,0,28,1,0,220,462
35110,"University--Rosedale/University--Rosedale"," 53","Toronto",0,116,0,16,85,5,0,15,0,1,238,517
35110,"University--Rosedale/University--Rosedale"," 54","Toronto",Merged with No./Fusionné avec le n°55,,,,,,,,,,,345
35110,"University--Rosedale/University--Rosedale"," 55","Toronto",0,152,0,31,107,6,0,33,1,3,333,398
35110,"University--Rosedale/University--Rosedale"," 56","Toronto",0,110,0,14,25,2,0,20,1,0,172,442
35110,"University--Rosedale/University--Rosedale"," 57","Toronto",Merged with No./Fusionné avec le n°50,,,,,,,,,,,235
35110,"University--Rosedale/University--Rosedale"," 58","Toronto",0,68,2,12,71,1,0,18,0,2,174,482
35110,"University--Rosedale/University--Rosedale"," 59","Toronto",1,102,0,19,73,1,0,25,1,0,222,447
35110,"University--Rosedale/University--Rosedale"," 60","Toronto",0,90,0,27,55,3,0,15,1,0,191,409
35110,"University--Rosedale/University--Rosedale"," 61","Toronto",0,135,0,30,51,6,0,17,1,0,240,496
35110,"University--Rosedale/University--Rosedale"," 62","Toronto",0,111,1,28,64,0,0,24,0,2,230,552
35110,"University--Rosedale/University--Rosedale"," 63","Toronto",1,77,0,23,60,0,0,15,0,1,177,400
35110,"University--Rosedale/University--Rosedale"," 64","Toronto",0,88,1,33,74,0,0,15,0,0,211,423
35110,"University--Rosedale/University--Rosedale"," 65","Toronto",1,133,1,31,122,6,0,7,0,0,301,539
35110,"University--Rosedale/University--Rosedale"," 66","Toronto",0,107,0,28,48,0,0,15,3,0,201,399
35110,"University--Rosedale/University--Rosedale"," 67","Toronto",0,160,0,30,85,2,0,29,1,2,309,579
35110,"University--Rosedale/University--Rosedale"," 68","Toronto",1,85,0,19,88,7,0,29,1,0,230,481
35110,"University--Rosedale/University--Rosedale"," 69","Toronto",1,138,0,36,65,2,0,10,0,1,253,435
35110,"University--Rosedale/University--Rosedale"," 70A","Toronto",Merged with No./Fusionné avec le n°70E,,,,,,,,,,,3
35110,"University--Rosedale/University--Rosedale"," 70B","Toronto",Merged with No./Fusionné avec le n°436,,,,,,,,,,,4
35110,"University--Rosedale/University--Rosedale"," 70C","Toronto",Merged with No./Fusionné avec le n°70E,,,,,,,,,,,223
35110,"University--Rosedale/University--Rosedale"," 70D","Toronto",Merged with No./Fusionné avec le n°435,,,,,,,,,,,39
35110,"University--Rosedale/University--Rosedale"," 70E","Toronto",2,110,0,17,54,2,0,41,1,3,230,235
35110,"University--Rosedale/University--Rosedale"," 71","Toronto",0,105,0,19,48,6,0,25,0,1,204,557
35110,"University--Rosedale/University--Rosedale"," 72","Toronto",0,95,1,15,28,1,0,30,0,0,170,441
35110,"University--Rosedale/University--Rosedale"," 73","Toronto",2,136,2,32,105,0,0,44,0,0,321,444
35110,"University--Rosedale/University--Rosedale"," 74","Toronto",0,139,4,22,93,6,1,27,1,1,294,530
35110,"University--Rosedale/University--Rosedale"," 75","Toronto",0,119,0,23,80,3,0,33,0,0,258,497
35110,"University--Rosedale/University--Rosedale"," 76","Toronto",0,119,0,15,86,0,0,25,0,1,246,525
35110,"University--Rosedale/University--Rosedale"," 77","Toronto",0,99,0,23,99,0,0,29,0,0,250,440
35110,"University--Rosedale/University--Rosedale"," 78","Toronto",4,134,5,25,81,0,0,22,1,1,273,459
35110,"University--Rosedale/University--Rosedale"," 79","Toronto",0,86,1,12,62,3,1,16,2,4,187,439
35110,"University--Rosedale/University--Rosedale"," 80","Toronto",0,70,0,19,65,4,0,16,0,0,174,346
35110,"University--Rosedale/University--Rosedale"," 81","Toronto",1,124,0,25,78,0,1,32,0,0,261,547
35110,"University--Rosedale/University--Rosedale"," 82","Toronto",1,112,0,34,60,0,0,20,0,0,227,467
35110,"University--Rosedale/University--Rosedale"," 83","Toronto",0,66,0,16,70,0,0,13,0,0,165,347
35110,"University--Rosedale/University--Rosedale"," 84","Toronto",0,128,1,30,67,0,0,16,2,1,245,502
35110,"University--Rosedale/University--Rosedale"," 85","Toronto",1,102,1,19,55,3,0,8,1,2,192,443
35110,"University--Rosedale/University--Rosedale"," 86","Toronto",1,137,2,33,87,2,0,30,1,0,293,568
35110,"University--Rosedale/University--Rosedale"," 87","Toronto",0,117,0,23,99,1,0,16,0,6,262,530
35110,"University--Rosedale/University--Rosedale"," 88","Toronto",0,85,0,12,98,1,0,10,1,1,208,498
35110,"University--Rosedale/University--Rosedale"," 89","Toronto",0,77,0,16,73,2,0,30,1,0,199,451
35110,"University--Rosedale/University--Rosedale"," 90","Toronto",0,86,2,35,61,2,1,18,0,1,206,503
35110,"University--Rosedale/University--Rosedale"," 91","Toronto",0,103,0,25,55,2,0,21,0,0,206,455
35110,"University--Rosedale/University--Rosedale"," 92","Toronto",0,90,2,33,67,0,0,14,2,0,208,473
35110,"University--Rosedale/University--Rosedale"," 93","Toronto",0,131,0,41,79,2,0,19,0,1,273,552
35110,"University--Rosedale/University--Rosedale"," 94","Toronto",0,105,1,57,69,3,0,17,0,2,254,545
35110,"University--Rosedale/University--Rosedale"," 95","Toronto",2,127,0,25,79,1,0,20,0,1,255,467
35110,"University--Rosedale/University--Rosedale"," 96","Toronto",0,110,0,25,100,3,0,9,1,2,250,464
35110,"University--Rosedale/University--Rosedale"," 97","Toronto",0,106,0,27,72,1,0,23,0,1,230,461
35110,"University--Rosedale/University--Rosedale"," 98","Toronto",0,93,0,18,75,2,0,22,1,1,212,439
35110,"University--Rosedale/University--Rosedale"," 99","Toronto",0,98,0,13,77,3,1,26,2,0,220,562
35110,"University--Rosedale/University--Rosedale"," 100","Toronto",0,96,0,25,70,2,0,22,0,1,216,475
35110,"University--Rosedale/University--Rosedale"," 101","Toronto",0,114,0,27,77,2,0,29,1,6,256,469
