Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shannon Hawthorne,Harris Kirshenbaum,Glen Motz,Andrew Nelson,Dave Phillips,Elizabeth Thomson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 70","Medicine Hat",2,13,114,7,3,33,1,173,400
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 71","Medicine Hat",8,32,173,6,3,24,0,246,408
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 72","Medicine Hat",2,22,143,4,0,5,1,177,393
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 73","Medicine Hat",5,21,173,4,1,23,0,227,456
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 74","Medicine Hat",7,23,155,4,2,22,0,213,421
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 75","Medicine Hat",8,21,179,3,1,33,1,246,429
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 76","Medicine Hat",6,11,149,13,3,26,0,208,421
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 77","Medicine Hat",6,21,161,13,2,23,0,226,440
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 78","Medicine Hat",6,17,152,4,1,20,0,200,377
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 79","Medicine Hat",3,7,166,3,0,30,3,212,383
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 80","Medicine Hat",9,31,245,11,0,46,0,342,595
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 81","Medicine Hat",5,19,168,0,1,33,2,228,479
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 82","Medicine Hat",8,19,153,6,1,25,4,216,423
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 83","Medicine Hat",7,11,135,5,0,10,0,168,417
48027,"Medicine Hat--Cardston--Warner/Medicine Hat--Cardston--Warner"," 84","Medicine Hat",6,7,127,4,1,17,1,163,361
