Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nahed AlShawa,Luc Bertrand,Claude Debellefeuille,Marc Faubert,Joan Gottman,Cynthia Larivière,Alain Savard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24071,"Salaberry--Suroît/Salaberry--Suroît"," 148","Salaberry-de-Valleyfield",3,1,82,54,14,5,5,0,164,377
24071,"Salaberry--Suroît/Salaberry--Suroît"," 149","Salaberry-de-Valleyfield",3,1,99,36,14,7,0,4,164,357
24071,"Salaberry--Suroît/Salaberry--Suroît"," 150","Salaberry-de-Valleyfield",6,0,109,64,16,16,1,1,213,454
24071,"Salaberry--Suroît/Salaberry--Suroît"," 151","Salaberry-de-Valleyfield",8,1,68,76,25,13,1,1,193,410
24071,"Salaberry--Suroît/Salaberry--Suroît"," 152","Saint-Télesphore",4,0,82,52,21,23,0,3,185,301
24071,"Salaberry--Suroît/Salaberry--Suroît"," 153","Saint-Télesphore",6,0,83,47,9,14,3,0,162,285
24071,"Salaberry--Suroît/Salaberry--Suroît"," 154A","Saint-Zotique",5,0,83,46,7,15,2,4,162,355
24071,"Salaberry--Suroît/Salaberry--Suroît"," 154B","Saint-Zotique",3,0,66,38,15,7,2,2,133,331
24071,"Salaberry--Suroît/Salaberry--Suroît"," 155","Saint-Zotique",9,4,102,70,23,16,3,6,233,486
24071,"Salaberry--Suroît/Salaberry--Suroît"," 156","Saint-Zotique",5,1,105,34,10,14,1,1,171,405
24071,"Salaberry--Suroît/Salaberry--Suroît"," 157","Saint-Zotique",12,1,134,77,20,16,2,6,268,477
24071,"Salaberry--Suroît/Salaberry--Suroît"," 158","Saint-Zotique",9,4,72,24,5,14,2,3,133,306
24071,"Salaberry--Suroît/Salaberry--Suroît"," 159","Saint-Zotique",2,2,75,42,16,14,2,3,156,322
24071,"Salaberry--Suroît/Salaberry--Suroît"," 160","Saint-Zotique",5,4,65,29,10,10,2,3,128,273
24071,"Salaberry--Suroît/Salaberry--Suroît"," 161","Saint-Zotique",6,2,83,59,18,20,5,0,193,416
24071,"Salaberry--Suroît/Salaberry--Suroît"," 162","Saint-Louis-de-Gonzague",15,0,148,66,21,24,2,6,282,547
24071,"Salaberry--Suroît/Salaberry--Suroît"," 163","Saint-Louis-de-Gonzague",5,1,91,58,9,23,1,2,190,395
24071,"Salaberry--Suroît/Salaberry--Suroît"," 164","Saint-Louis-de-Gonzague",9,1,105,64,16,12,0,7,214,368
24071,"Salaberry--Suroît/Salaberry--Suroît"," 165","Très-Saint-Sacrement",9,1,84,66,32,19,4,9,224,387
24071,"Salaberry--Suroît/Salaberry--Suroît"," 166","Très-Saint-Sacrement",7,1,72,74,25,29,4,5,217,439
24071,"Salaberry--Suroît/Salaberry--Suroît"," 167","Très-Saint-Sacrement",4,1,77,68,29,30,1,2,212,411
24071,"Salaberry--Suroît/Salaberry--Suroît"," 168","Très-Saint-Sacrement",9,2,32,74,19,24,4,2,166,347
24071,"Salaberry--Suroît/Salaberry--Suroît"," 169","Saint-Zotique",9,0,103,57,26,20,0,5,220,528
24071,"Salaberry--Suroît/Salaberry--Suroît"," 170","Saint-Zotique",2,0,71,32,16,11,4,4,140,370
24071,"Salaberry--Suroît/Salaberry--Suroît"," 171","Saint-Zotique",5,0,86,65,13,14,5,1,189,387
24071,"Salaberry--Suroît/Salaberry--Suroît"," 172","Saint-Zotique",1,0,41,36,11,2,1,1,93,296
24071,"Salaberry--Suroît/Salaberry--Suroît"," 173","Saint-Zotique",3,1,64,24,3,7,1,5,108,316
24071,"Salaberry--Suroît/Salaberry--Suroît"," 174","Saint-Zotique",7,0,71,48,13,13,0,3,155,349
24071,"Salaberry--Suroît/Salaberry--Suroît"," 175","Saint-Zotique",8,2,97,37,13,18,0,4,179,469
24071,"Salaberry--Suroît/Salaberry--Suroît"," 176","Saint-Zotique",1,0,52,33,5,10,1,1,103,291
24071,"Salaberry--Suroît/Salaberry--Suroît"," 177","Saint-Zotique",4,1,62,53,9,23,4,1,157,377
24071,"Salaberry--Suroît/Salaberry--Suroît"," 178","Saint-Chrysostome",7,0,72,48,14,18,0,11,170,407
24071,"Salaberry--Suroît/Salaberry--Suroît"," 179","Saint-Chrysostome",1,0,102,29,4,28,3,1,168,361
24071,"Salaberry--Suroît/Salaberry--Suroît"," 180","Saint-Chrysostome",2,1,71,56,14,19,0,5,168,330
24071,"Salaberry--Suroît/Salaberry--Suroît"," 181A","Saint-Chrysostome",5,0,42,19,8,16,2,3,95,286
24071,"Salaberry--Suroît/Salaberry--Suroît"," 181B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,21
24071,"Salaberry--Suroît/Salaberry--Suroît"," 182","Saint-Chrysostome",2,1,91,29,9,18,0,1,151,357
