Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gwyneth Midgley,Austin Mullins,Blake Richards,Nadine Wellwood,Anne Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Banff--Airdrie/Banff--Airdrie"," 118","Airdrie",35,5,228,10,28,3,309,644
48001,"Banff--Airdrie/Banff--Airdrie"," 119","Airdrie",17,6,152,4,19,1,199,475
48001,"Banff--Airdrie/Banff--Airdrie"," 120","Airdrie",16,5,121,6,25,2,175,400
48001,"Banff--Airdrie/Banff--Airdrie"," 121","Airdrie",24,3,123,11,15,1,177,449
48001,"Banff--Airdrie/Banff--Airdrie"," 122","Airdrie",30,4,125,2,14,0,175,413
48001,"Banff--Airdrie/Banff--Airdrie"," 123","Airdrie",37,9,205,9,32,1,293,604
48001,"Banff--Airdrie/Banff--Airdrie"," 124","Airdrie",20,4,150,5,17,1,197,440
48001,"Banff--Airdrie/Banff--Airdrie"," 125","Airdrie",21,1,84,4,7,0,117,199
48001,"Banff--Airdrie/Banff--Airdrie"," 126","Airdrie",15,3,116,6,20,0,160,551
48001,"Banff--Airdrie/Banff--Airdrie"," 127","Airdrie",12,5,88,9,12,0,126,402
48001,"Banff--Airdrie/Banff--Airdrie"," 128","Airdrie",14,4,125,10,19,0,172,464
48001,"Banff--Airdrie/Banff--Airdrie"," 129","Airdrie",14,5,158,9,19,1,206,442
48001,"Banff--Airdrie/Banff--Airdrie"," 130","Airdrie",18,4,148,31,12,0,213,497
48001,"Banff--Airdrie/Banff--Airdrie"," 131","Airdrie",15,4,156,6,28,0,209,488
48001,"Banff--Airdrie/Banff--Airdrie"," 132","Cochrane",22,4,113,2,8,0,149,392
48001,"Banff--Airdrie/Banff--Airdrie"," 133","Cochrane",7,4,68,7,3,1,90,256
48001,"Banff--Airdrie/Banff--Airdrie"," 134","Cochrane",17,8,111,2,14,3,155,327
48001,"Banff--Airdrie/Banff--Airdrie"," 135A","Cochrane",13,4,135,7,13,2,174,381
48001,"Banff--Airdrie/Banff--Airdrie"," 135B","Cochrane",16,1,105,5,14,0,141,349
48001,"Banff--Airdrie/Banff--Airdrie"," 136","Cochrane",13,3,119,7,10,0,152,336
48001,"Banff--Airdrie/Banff--Airdrie"," 137","Airdrie",69,4,153,2,28,2,258,564
48001,"Banff--Airdrie/Banff--Airdrie"," 138","Airdrie",20,2,161,8,8,0,199,485
48001,"Banff--Airdrie/Banff--Airdrie"," 139A","Airdrie",30,7,162,6,12,3,220,470
48001,"Banff--Airdrie/Banff--Airdrie"," 139B","Airdrie",27,1,144,4,12,3,191,442
48001,"Banff--Airdrie/Banff--Airdrie"," 140","Airdrie",Merged with No./Fusionné avec le n°141,,,,,,,15
48001,"Banff--Airdrie/Banff--Airdrie"," 141","Airdrie",19,1,97,3,13,0,133,143
48001,"Banff--Airdrie/Banff--Airdrie"," 142","Airdrie",15,5,153,4,16,2,195,485
48001,"Banff--Airdrie/Banff--Airdrie"," 143","Airdrie",27,1,205,8,33,2,276,544
48001,"Banff--Airdrie/Banff--Airdrie"," 144","Airdrie",24,4,198,9,21,1,257,661
48001,"Banff--Airdrie/Banff--Airdrie"," 145","Balzac",7,4,166,1,8,1,187,370
48001,"Banff--Airdrie/Banff--Airdrie"," 146","Airdrie",8,6,181,9,12,2,218,466
48001,"Banff--Airdrie/Banff--Airdrie"," 147","Airdrie",9,7,116,4,13,2,151,326
48001,"Banff--Airdrie/Banff--Airdrie"," 148","Airdrie",12,3,136,8,13,1,173,397
48001,"Banff--Airdrie/Banff--Airdrie"," 149","Airdrie",8,0,174,7,9,0,198,388
48001,"Banff--Airdrie/Banff--Airdrie"," 150","Airdrie",4,2,106,9,9,0,130,333
48001,"Banff--Airdrie/Banff--Airdrie"," 151","Airdrie",11,3,171,4,12,0,201,429
48001,"Banff--Airdrie/Banff--Airdrie"," 152","Cochrane",15,7,166,9,14,1,212,435
48001,"Banff--Airdrie/Banff--Airdrie"," 153","Rockyview West",15,6,168,11,14,0,214,504
48001,"Banff--Airdrie/Banff--Airdrie"," 154","Cochrane",8,3,116,4,8,0,139,295
48001,"Banff--Airdrie/Banff--Airdrie"," 155","Rocky View No. 44",22,3,169,7,17,0,218,455
48001,"Banff--Airdrie/Banff--Airdrie"," 156","Bearspaw",8,3,156,5,8,0,180,364
48001,"Banff--Airdrie/Banff--Airdrie"," 157","Bearspaw",19,4,132,2,7,2,166,324
48001,"Banff--Airdrie/Banff--Airdrie"," 158","Bearspaw",18,4,109,0,2,0,133,269
48001,"Banff--Airdrie/Banff--Airdrie"," 159A","Bearspaw",20,3,162,0,13,0,198,434
48001,"Banff--Airdrie/Banff--Airdrie"," 159B","Bearspaw",32,6,135,0,10,0,183,388
48001,"Banff--Airdrie/Banff--Airdrie"," 160","Airdrie",Merged with No./Fusionné avec le n°165,,,,,,,206
48001,"Banff--Airdrie/Banff--Airdrie"," 161","Airdrie",16,4,145,7,23,0,195,428
48001,"Banff--Airdrie/Banff--Airdrie"," 162A","Airdrie",20,7,121,3,21,0,172,370
48001,"Banff--Airdrie/Banff--Airdrie"," 162B","Airdrie",20,8,154,8,23,0,213,403
