Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Victoria Galea,Bert Laranjo,Yousaf Malik,Daniel Ricottone,Spencer Rocchi,Filomena Tassi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 161","Ancaster",13,65,9,1,1,77,1,167,358
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 162","Ancaster",17,73,16,0,1,93,2,202,403
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 163","Ancaster",2,61,16,6,0,86,0,171,373
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 164","Ancaster",25,92,24,0,0,104,0,245,473
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 165","Ancaster",13,44,30,2,0,87,0,176,422
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 166","Ancaster",17,49,13,1,0,104,0,184,408
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 167","Ancaster",9,89,31,2,0,86,0,217,423
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 168","Ancaster",12,54,37,2,1,99,0,205,418
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 169","Ancaster",20,57,40,6,2,83,0,208,413
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 170","Ancaster",9,78,8,1,0,120,0,216,428
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 171","Ancaster",18,66,10,3,0,114,2,213,394
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 172","Ancaster",18,74,22,3,1,98,1,217,369
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 173","Ancaster",10,81,23,3,0,90,3,210,402
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 174","Ancaster",17,40,14,1,0,59,2,133,318
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 175","Ancaster",16,70,31,2,0,101,1,221,370
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas"," 176","Ancaster",17,69,27,7,0,118,1,239,413
