Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevan Hunter,Colin Korol,Tim Moen,Natalie Odd,Gurcharan Singh Sidhu,Jordan Stein,Len Webber,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48005,"Calgary Confederation/Calgary Confederation"," 166A","Calgary",1,4,0,21,33,67,66,0,192,425
48005,"Calgary Confederation/Calgary Confederation"," 166B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,,,,11
48005,"Calgary Confederation/Calgary Confederation"," 167","Calgary",1,2,2,15,25,48,64,1,158,362
48005,"Calgary Confederation/Calgary Confederation"," 168","Calgary",0,1,1,26,22,80,92,2,224,444
48005,"Calgary Confederation/Calgary Confederation"," 169","Calgary",0,3,1,35,40,84,104,2,269,525
48005,"Calgary Confederation/Calgary Confederation"," 170","Calgary",0,4,4,24,27,87,117,1,264,501
48005,"Calgary Confederation/Calgary Confederation"," 171","Calgary",1,2,1,12,19,44,62,1,142,274
48005,"Calgary Confederation/Calgary Confederation"," 172","Calgary",0,10,1,30,48,80,103,0,272,525
48005,"Calgary Confederation/Calgary Confederation"," 173","Calgary",1,4,1,25,24,77,95,1,228,374
48005,"Calgary Confederation/Calgary Confederation"," 174","Calgary",1,3,0,26,26,80,54,0,190,337
48005,"Calgary Confederation/Calgary Confederation"," 175","Calgary",0,8,0,27,49,59,74,0,217,419
48005,"Calgary Confederation/Calgary Confederation"," 176","Calgary",1,1,0,21,41,88,62,1,215,391
48005,"Calgary Confederation/Calgary Confederation"," 177","Calgary",1,1,2,35,43,75,77,2,236,431
48005,"Calgary Confederation/Calgary Confederation"," 178","Calgary",0,3,2,32,47,97,99,1,281,579
48005,"Calgary Confederation/Calgary Confederation"," 179","Calgary",0,1,1,13,12,28,48,0,103,199
48005,"Calgary Confederation/Calgary Confederation"," 180","Calgary",0,2,3,14,28,40,65,0,152,410
48005,"Calgary Confederation/Calgary Confederation"," 181","Calgary",0,2,7,16,33,43,96,0,197,541
