Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Juanita Burnett,Steve Dyck,Aisha Jahangir,Kornelis Klevering,Lloyd Longfield,Mark Paralovos,Ashish Sachan,Gordon Truscott,Michael Wassilyn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35032,"Guelph/Guelph"," 39","Guelph",0,67,28,0,139,2,71,3,0,1,311,574
35032,"Guelph/Guelph"," 40","Guelph",0,83,31,0,98,5,55,3,0,2,277,510
35032,"Guelph/Guelph"," 41","Guelph",1,72,44,0,116,9,40,5,0,0,287,529
35032,"Guelph/Guelph"," 42","Guelph",0,49,14,0,65,2,27,0,0,0,157,321
35032,"Guelph/Guelph"," 43","Guelph",0,42,38,0,118,3,66,1,0,3,271,542
35032,"Guelph/Guelph"," 44","Guelph",1,68,49,0,151,6,72,2,1,2,352,743
35032,"Guelph/Guelph"," 45","Guelph",2,60,35,1,106,3,94,0,1,1,303,659
35032,"Guelph/Guelph"," 46","Guelph",1,54,23,0,57,5,54,2,1,1,198,382
35032,"Guelph/Guelph"," 47","Guelph",0,60,32,0,120,5,76,2,0,0,295,633
35032,"Guelph/Guelph"," 48","Guelph",0,92,26,0,66,5,48,1,1,0,239,449
35032,"Guelph/Guelph"," 49","Guelph",0,53,14,2,68,4,60,0,1,1,203,393
35032,"Guelph/Guelph"," 50","Guelph",2,79,36,0,101,3,47,3,1,1,273,559
35032,"Guelph/Guelph"," 51","Guelph",0,100,47,0,93,3,21,2,0,1,267,498
35032,"Guelph/Guelph"," 52","Guelph",Merged with No./Fusionné avec le n°55,,,,,,,,,,,127
35032,"Guelph/Guelph"," 53","Guelph",0,39,10,0,76,0,52,0,0,1,178,537
35032,"Guelph/Guelph"," 54","Guelph",0,20,6,1,65,1,35,1,0,2,131,358
35032,"Guelph/Guelph"," 55","Guelph",1,37,18,1,64,1,35,5,0,0,162,238
35032,"Guelph/Guelph"," 56","Guelph",0,39,25,0,34,4,23,0,2,1,128,284
35032,"Guelph/Guelph"," 57","Guelph",0,57,38,0,68,3,37,7,0,1,211,494
35032,"Guelph/Guelph"," 58","Guelph",0,49,22,0,50,5,37,0,2,0,165,369
35032,"Guelph/Guelph"," 59","Guelph",0,63,31,0,75,6,42,1,1,1,220,451
35032,"Guelph/Guelph"," 60","Guelph",1,70,26,2,83,0,44,3,3,0,232,507
35032,"Guelph/Guelph"," 61","Guelph",0,119,36,0,135,1,52,1,1,2,347,560
35032,"Guelph/Guelph"," 62","Guelph",0,99,38,0,139,4,39,1,0,0,320,561
35032,"Guelph/Guelph"," 63","Guelph",0,78,41,0,76,1,25,0,0,1,222,434
35032,"Guelph/Guelph"," 64","Guelph",0,103,34,1,124,2,27,3,0,1,295,560
35032,"Guelph/Guelph"," 65","Guelph",1,130,50,0,131,7,26,0,0,3,348,609
35032,"Guelph/Guelph"," 66","Guelph",2,110,62,0,125,7,32,4,0,1,343,607
35032,"Guelph/Guelph"," 67","Guelph",1,115,42,0,91,3,16,2,0,1,271,475
35032,"Guelph/Guelph"," 68","Guelph",0,93,63,0,108,0,50,3,2,0,319,636
35032,"Guelph/Guelph"," 69","Guelph",2,116,71,2,91,8,58,2,2,2,354,638
