Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melody Aldred,Lisa Birtch-Carriere,Matthew Chambers,Brendan Knight,Dave MacKenzie,Wendy Martin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35080,"Oxford/Oxford"," 105B","Woodstock",Merged with No./Fusionné avec le n°103B,,,,,,,,290
35080,"Oxford/Oxford"," 106A","Eastwood",7,13,35,22,114,7,0,198,372
35080,"Oxford/Oxford"," 106B","Eastwood",Merged with No./Fusionné avec le n°77,,,,,,,,14
35080,"Oxford/Oxford"," 107","Vandecar",7,9,27,17,84,10,3,157,254
35080,"Oxford/Oxford"," 108","Woodstock",5,8,38,44,102,5,4,206,438
35080,"Oxford/Oxford"," 109","Woodstock",3,13,36,55,86,8,1,202,382
35080,"Oxford/Oxford"," 110","Woodstock",0,3,32,25,57,6,4,127,249
35080,"Oxford/Oxford"," 111","Woodstock",3,12,68,58,109,8,3,261,554
35080,"Oxford/Oxford"," 112","Woodstock",1,11,66,42,85,7,0,212,433
35080,"Oxford/Oxford"," 113","Brant",2,21,43,52,119,10,5,252,466
35080,"Oxford/Oxford"," 114","Brant",6,11,30,24,123,7,1,202,439
35080,"Oxford/Oxford"," 115","Brant",4,21,34,49,166,7,1,282,511
35080,"Oxford/Oxford"," 116","Brant",9,11,33,48,173,3,1,278,467
35080,"Oxford/Oxford"," 117","Brant",9,28,21,39,188,3,3,291,480
35080,"Oxford/Oxford"," 118","Oxford Centre",12,14,28,31,176,13,1,275,398
35080,"Oxford/Oxford"," 119","Curries",8,17,37,42,161,8,2,275,432
35080,"Oxford/Oxford"," 120A","Dorland",8,32,67,43,172,26,0,348,142
35080,"Oxford/Oxford"," 120B","Dorland",13,32,76,40,220,14,2,397,174
35080,"Oxford/Oxford"," 120C","Dorland",0,19,47,42,143,13,1,265,145
35080,"Oxford/Oxford"," 121A","Dorland",Merged with No./Fusionné avec le n°120A,,,,,,,,121
35080,"Oxford/Oxford"," 121B","Dorland",Merged with No./Fusionné avec le n°120B,,,,,,,,143
35080,"Oxford/Oxford"," 121C","Dorland",Merged with No./Fusionné avec le n°120C,,,,,,,,63
35080,"Oxford/Oxford"," 122A","Beachville",Merged with No./Fusionné avec le n°120A,,,,,,,,131
35080,"Oxford/Oxford"," 122B","Beachville",Merged with No./Fusionné avec le n°120B,,,,,,,,112
35080,"Oxford/Oxford"," 122C","Beachville",Merged with No./Fusionné avec le n°120C,,,,,,,,88
35080,"Oxford/Oxford"," 123A","Rayside",Merged with No./Fusionné avec le n°120A,,,,,,,,91
35080,"Oxford/Oxford"," 123B","Rayside",Merged with No./Fusionné avec le n°120B,,,,,,,,139
35080,"Oxford/Oxford"," 123C","Rayside",Merged with No./Fusionné avec le n°120C,,,,,,,,75
35080,"Oxford/Oxford"," 124A","Centreville",Merged with No./Fusionné avec le n°120A,,,,,,,,115
35080,"Oxford/Oxford"," 124B","Centreville",Merged with No./Fusionné avec le n°120B,,,,,,,,99
35080,"Oxford/Oxford"," 124C","Centreville",Merged with No./Fusionné avec le n°120C,,,,,,,,85
35080,"Oxford/Oxford"," 125A","Zorra",2,24,70,94,181,7,6,384,160
35080,"Oxford/Oxford"," 125B","Zorra",6,32,78,67,212,6,4,405,184
35080,"Oxford/Oxford"," 126A","Zorra",Merged with No./Fusionné avec le n°125A,,,,,,,,186
35080,"Oxford/Oxford"," 126B","Zorra",Merged with No./Fusionné avec le n°125B,,,,,,,,166
35080,"Oxford/Oxford"," 127A","Thamesford",Merged with No./Fusionné avec le n°125A,,,,,,,,150
35080,"Oxford/Oxford"," 127B","Thamesford",Merged with No./Fusionné avec le n°125B,,,,,,,,140
