Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Brisson,Ali Dahan,Macarena Diab,Marie-Josée Guérette,Christian Hébert,Jérémie Juneau,Joël Lightbound,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24044,"Louis-Hébert/Louis-Hébert"," 180","Québec",0,1,5,30,55,15,114,1,221,419
24044,"Louis-Hébert/Louis-Hébert"," 181","Québec",4,1,10,55,49,21,97,2,239,485
24044,"Louis-Hébert/Louis-Hébert"," 182","Québec",2,1,4,35,67,18,73,5,205,357
24044,"Louis-Hébert/Louis-Hébert"," 183","Québec",2,0,10,22,67,12,96,3,212,375
24044,"Louis-Hébert/Louis-Hébert"," 184","Québec",4,2,15,46,84,27,91,3,272,548
24044,"Louis-Hébert/Louis-Hébert"," 185","Québec",3,1,9,36,62,9,123,2,245,430
24044,"Louis-Hébert/Louis-Hébert"," 186","Québec",3,0,10,64,60,20,97,3,257,497
24044,"Louis-Hébert/Louis-Hébert"," 187","Québec",4,1,10,48,69,31,97,3,263,495
24044,"Louis-Hébert/Louis-Hébert"," 188","Québec",1,2,11,38,49,16,122,1,240,439
24044,"Louis-Hébert/Louis-Hébert"," 189","Québec",2,0,8,38,61,12,91,3,215,416
24044,"Louis-Hébert/Louis-Hébert"," 190","Québec",7,1,13,44,63,16,73,2,219,387
24044,"Louis-Hébert/Louis-Hébert"," 191","Québec",2,0,15,34,56,16,94,3,220,447
24044,"Louis-Hébert/Louis-Hébert"," 400","Québec",3,2,2,32,49,4,112,20,224,284
24044,"Louis-Hébert/Louis-Hébert"," 401","Québec",3,0,4,19,59,8,60,0,153,205
24044,"Louis-Hébert/Louis-Hébert"," 402","Québec",4,1,2,54,121,11,190,3,386,471
24044,"Louis-Hébert/Louis-Hébert"," 403","Québec",7,1,1,44,114,3,254,11,435,549
24044,"Louis-Hébert/Louis-Hébert"," 404","Québec",Void/Supprimé,,,,,,,,,
24044,"Louis-Hébert/Louis-Hébert"," 405","Québec",4,0,4,26,36,12,57,1,140,229
24044,"Louis-Hébert/Louis-Hébert"," 406","Québec",4,0,3,22,73,11,71,4,188,289
24044,"Louis-Hébert/Louis-Hébert"," 407","Québec",1,0,4,11,24,1,52,4,97,170
24044,"Louis-Hébert/Louis-Hébert"," 500","Mobile poll/Bureau itinérant",3,1,0,6,19,3,40,2,74,185
24044,"Louis-Hébert/Louis-Hébert"," 501A","Mobile poll/Bureau itinérant",2,0,2,15,6,1,42,3,71,131
24044,"Louis-Hébert/Louis-Hébert"," 501B","Québec",Merged with No./Fusionné avec le n°40,,,,,,,,,56
24044,"Louis-Hébert/Louis-Hébert"," 502","Mobile poll/Bureau itinérant",2,2,2,16,18,3,55,8,106,169
24044,"Louis-Hébert/Louis-Hébert"," 503","Mobile poll/Bureau itinérant",0,0,2,20,42,2,133,15,214,286
24044,"Louis-Hébert/Louis-Hébert"," 504A","Mobile poll/Bureau itinérant",2,1,0,7,18,2,71,15,116,183
24044,"Louis-Hébert/Louis-Hébert"," 504B","Mobile poll/Bureau itinérant",1,2,1,9,10,1,60,12,96,116
24044,"Louis-Hébert/Louis-Hébert"," 600","Québec",17,2,47,218,458,64,598,8,1412,
24044,"Louis-Hébert/Louis-Hébert"," 601","Québec",10,5,48,150,250,56,418,13,950,
24044,"Louis-Hébert/Louis-Hébert"," 602","Québec",9,5,49,117,340,52,484,2,1058,
24044,"Louis-Hébert/Louis-Hébert"," 603","Québec",7,2,31,69,164,52,168,9,502,
24044,"Louis-Hébert/Louis-Hébert"," 604","Québec",14,0,24,130,332,37,447,7,991,
24044,"Louis-Hébert/Louis-Hébert"," 605","Québec",14,2,38,198,303,70,421,9,1055,
24044,"Louis-Hébert/Louis-Hébert"," 606","Québec",12,2,29,181,253,61,416,6,960,
24044,"Louis-Hébert/Louis-Hébert"," 607","Québec",20,6,35,233,381,85,520,8,1288,
24044,"Louis-Hébert/Louis-Hébert"," 608","Québec",21,4,30,203,407,40,457,25,1187,
24044,"Louis-Hébert/Louis-Hébert"," 609","Québec",18,8,42,187,318,72,406,14,1065,
24044,"Louis-Hébert/Louis-Hébert"," 610","Québec",21,4,29,181,286,68,352,12,953,
24044,"Louis-Hébert/Louis-Hébert"," 611","Québec",21,1,31,235,320,62,400,17,1087,
24044,"Louis-Hébert/Louis-Hébert"," 612","Québec",21,3,28,292,572,35,686,32,1669,
24044,"Louis-Hébert/Louis-Hébert"," 613","Québec",13,5,48,316,533,85,655,22,1677,
24044,"Louis-Hébert/Louis-Hébert"," 614","Québec",13,3,32,269,403,75,543,23,1361,
24044,"Louis-Hébert/Louis-Hébert"," 615","Québec",35,4,39,365,387,69,400,18,1317,
24044,"Louis-Hébert/Louis-Hébert"," 616","Québec",27,2,10,371,245,32,219,21,927,
24044,"Louis-Hébert/Louis-Hébert"," 617","Québec",26,5,39,320,379,50,327,18,1164,
24044,"Louis-Hébert/Louis-Hébert",,Group 1/Groupe 1, 2,1,26,32,21,18,73,10,183,162
24044,"Louis-Hébert/Louis-Hébert",,Group 2/Groupe 2, 28,7,145,301,603,264,1069,48,2465,
